touchstart,터치해서 시작하기,Touch To Start,觸摸開始,タッチして始める,Berühren um loszulegen,Нажмите  чтобы начать
repair,수리 중,Repairing,正在修理,修理中,In Reparatur,ремонтируется
assistant,조수,Assistant,助理,助手,Assistent,помощник
marketprice,시세,Market Price,時勢,相場,Marktpreis,Текущая ситуация
revival,부활,Revival,復活,復活,Auferstehung,воскрешение
cloud_save,저장하기,Save,保存,保存する,Speichern,Сохранить
cloud_load,불러오기,Load,加載,呼ぶこと,Anrufen,нагрузка
cloud_save_success,클라우드 저장에 성공하였습니다.,Cloud Save success!,雲端儲存成功！,クラウドの貯蔵に成功しました。,Erfolgreiche Speicherung der Cloud.,Успех облачного хранения!
cloud_save_fail,클라우드 저장 실패!,Failed to save to cloud!,無法保存到雲端！,クラウド保存失敗。,Cloud Save fehlgeschlagen.,Не удается сохранить в облаке!
cloud_load_fail,클라우드 불러오기 실패!,Failed to load!,無法加載！,クラウド読み込み、失敗。,Cloud-Laden  Fehler.,Невозможно загрузить!
cloud_backup,클라우드 백업,Cloud Back Up,雲備份,クラウドバックアップ,Cloud-Backup,Предоставление облаков
daily_reward,일일 보상,Daily Reward,每日獎勵,毎日補償,Tägliche Vergütung,Ежедневные награды
re_reward,재접속 보상,Reconnection reward,重新連結獎勵,再接続補償,Wiederanschlusskompensation,Поднимите награды
tip1,해적선은 다른 배들보다 빠릅니다.,Pirate ships are faster than other ships.,海盜船比其他船舶要快。,海賊船は他の船より早いです。,Piratenschiffe sind schneller als andere Schiffe.,Corsair быстрее  чем другие корабли.
tip2,어획량은 점점 줄어듭니다. 섬에 방문하면 초기화 됩니다.,The catch is getting smaller. It is reset when you visit the island.,捕魚量逐漸減少。 訪問島上的話就會變成初始化狀態。,漁獲量はますます小さくなります。 島に訪問したら初期化されます。,Der Fang wird kleiner und kleiner. Sobald Sie die Insel besucht haben  wird sie initialisiert.,Количество рыбной ловли уменьшается. Если вы посетите остров  он будет инициализирован.
tip3,업데이트는 계속 됩니다. 많은 응원 부탁드립니다.,The update will continue. Please encourage us a lot.,更新將繼續。 請鼓勵我們很多。,アップデートは続きます。 多くの応援お願いします。,Das Update wird fortgesetzt. Vielen Dank für Ihre Unterstützung.,Обновление будет продолжено. Пожалуйста  поощряйте нас много.
cloud_overwrite,클라우드 데이터에 덮어쓰겠습니까?,Overwrite cloud data. Continue?,重寫雲端數據。繼續？,クラウドデータに上書きか?,Cloud-Daten überschreiben. Fortsetzen?,Перепишите данные облака. Продолжить?
seagull,갈매기,Seagull,海鷗,カモメ,Möwe,чайка
heal,회복,Recovery,恢復,回復,Heilung,Recovery
